song,artist,track_id,duration_s,energy,tempo,mode,time_signature,valence,key
Lush Life,Zara Larsson ,1rIKgCH4H52lrvDcz50hS8,201.122,0.712,98.023,0,4,0.799,7
Work Out,J. Cole ,2wAJTrFhCnQyNSD3oUgTZO,235.32,0.427,93.004,1,4,0.216,2
"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan ,4T0ScSPdQKmGvruK7pavNP,176.744,0.607,81.997,1,4,0.891,2
Boyfriend,Dove Cameron ,59CfNbkERJ3NoTXDvoURjj,153.0,0.612,179.773,0,3,0.232,7
Eazy  Him & I,G,5k38wzpLb15YgncyWdTZE4,268.867,0.731,87.908,1,4,0.191,2
Don't Wanna Know,Maroon 5 ,1nueTG77MzNkJTKQ0ZdGzT,214.265,0.61,100.047,1,4,0.418,7
Jackie Chan,Tiësto ,4kWO6O1BUXcZmaxitpVUwp,215.76,0.834,128.005,0,4,0.687,3
Don't Mind,Kent Jones ,27PmvZoffODNFW2p7ehZTQ,198.237,0.771,158.777,1,4,0.69,8
Castle on the Hill,Ed Sheeran ,6PCUP3dWmTjcTtXY02oFdT,261.154,0.834,135.007,1,4,0.471,2
Supalonely,BENEE ,4nK5YrxbMGZstTLbvj6Gxw,223.48,0.631,128.977,1,4,0.817,7
Rock and A Hard Place,Bailey Zimmerman ,1TE8AAk9koG0UJco6ZAUfx,207.541,0.568,121.991,1,3,0.394,1
Know Yourself,Drake ,5InOp6q2vvx0fShv3bzFLZ,275.84,0.412,114.408,0,4,0.179,11
No Stylist,French Montana ,04MLEeAMuV9IlHEsD8vF6A,192.172,0.704,147.055,0,4,0.498,5
I Hate U,SZA ,2aJnyNu4PQxQ2lyj5boiMG,173.907,0.417,106.534,0,5,0.376,7
One Kiss,Calvin Harris ,7ef4DlsgrMEH11cDZd32M6,214.847,0.862,123.994,0,4,0.592,9
Where Ya At,Future ,5nN8BwAQDJDguq7Dpd3JQQ,208.027,0.453,161.997,1,4,0.191,1
Send My Love (To Your New Lover),Adele ,0t7fVeEJxO2Xi4H2K5Svc9,223.079,0.533,164.069,0,4,0.567,6
Me and Your Mama,Childish Gambino ,4AFsRbaLKRWo3dDtjDFA2V,379.227,0.442,118.073,1,3,0.242,5
SUGAR,BROCKHAMPTON ,6U0FIYXCQ3TGrk4tFpLrEA,204.533,0.538,122.973,1,4,0.516,1
My Oh My,Camila Cabello ,3yOlyBJuViE2YSGn3nVE1K,170.746,0.491,105.046,1,4,0.383,8
Famous,Kanye West ,19a3JfW8BQwqHWUMbcqSx8,196.04,0.735,173.935,1,4,0.409,6
Call On Me  Ryan Riback Extended Remix,Starley ,2L6orAlH8tBhiFTumIfMyF,222.041,0.838,104.998,1,4,0.717,0
i'm so tired...,Lauv ,7LpMG3AEaIJgs62HQhAa91,162.587,0.735,101.252,1,4,0.498,11
Close To Me,Ellie Goulding ,2GjMaJ7DacMIkgoe8oMXGg,182.627,0.75,144.081,0,4,0.475,1
BAD!,XXXTENTACION ,22An65gG31JLf9n18qjdhZ,94.246,0.492,143.983,0,4,0.374,5
Wanted You,NAV ,1Faq8G2y56A8fRv7HsLq25,228.387,0.731,146.93,0,4,0.623,9
Make No Sense,YoungBoy Never Broke Again ,6klLvorLoo1sxvZcjJIY8I,148.63,0.733,154.904,0,4,0.962,10
PRBLMS,6LACK ,4AtZRwSR8BOTTQg5ihSggt,246.773,0.58,68.58,1,5,0.139,9
Smile,Juice WRLD ,6wQlQrTY5mVS8EGaFZVwVF,196.18,0.685,158.831,0,4,0.306,6
Bang!,AJR ,4SQLQfcR0vhyIN4uPBlc0d,170.858,0.517,139.917,0,4,0.698,1
Feels,Calvin Harris ,5bcTCxgc7xVfSaMV3RuVke,223.413,0.745,101.018,0,4,0.872,11
ELEMENT.,Kendrick Lamar ,1EaKU4dMbesXXd3BrLCtYG,208.733,0.705,189.891,0,4,0.483,4
Pure Cocaine,Lil Baby ,577YBGuskWkVDCxZrLRB4v,154.024,0.487,127.05,0,4,0.107,10
Mercy,Shawn Mendes ,0AS63m1wHv9n4VVRizK6Hc,208.733,0.662,148.128,0,4,0.356,11
beibs in the trap,Travis Scott ,0ESJlaM8CE1jRWaNtwSNj8,213.863,0.571,119.054,0,4,0.495,7
Dangerous Woman,Ariana Grande ,6RUhbFEhrvGISaQ8u2j2JN,235.947,0.602,134.049,0,3,0.289,4
Lavender Haze,Taylor Swift ,5jQI2r1RdgtuT8S3iG8zFC,202.396,0.436,96.985,1,4,0.0976,10
Go Loko,YG ,1kK6DwzyXJSp58u5HYWwuD,299.227,0.67,101.008,1,4,0.131,2
Say It,Flume ,5aOpzm8W8zysk4asB9hxJw,262.521,0.532,74.963,0,4,0.261,3
Bang Bang,Jessie J ,0puf9yIluy9W0vpMEUoAnN,199.387,0.786,150.028,0,4,0.751,0
Smokin Out The Window,Bruno Mars ,3xVZYkcuWalGudeKl861wb,197.443,0.618,82.03,1,4,0.848,2
Hands To Myself,Selena Gomez ,1LoriJC05IrHIDwj3q0KC1,200.68,0.499,111.016,0,4,0.466,5
Big Energy,Latto ,6Zu3aw7FfjAF9WA0fA81Oq,173.182,0.807,106.017,0,4,0.813,11
Myron,Lil Uzi Vert ,56uXDJRCuoS7abX3SkzHKQ,224.955,0.654,155.047,0,4,0.573,8
Love Me Like You Do,Ellie Goulding ,3zHq9ouUJQFQRf3cm1rRLu,252.534,0.606,189.857,1,4,0.275,8
This Feeling,The Chainsmokers ,4NBTZtAt1F13VvlSKe6KTl,197.947,0.571,105.049,1,4,0.449,1
Stay,Post Malone ,4H7WNRErSbONkM06blBoGc,204.427,0.48,86.046,1,4,0.35,5
Love On The Brain,Rihanna ,5oO3drDxtziYU2H1X23ZIp,224.0,0.637,172.006,0,3,0.378,4
Really Really,Kevin Gates ,10I3CmmwT0BkOVhduDy53o,232.093,0.666,118.97,1,4,0.278,0
F*ck Up Some Commas,Future ,49zD0wr2S3d0lZPib0K4e1,237.4,0.568,139.995,0,4,0.46,11
KOD,J. Cole ,7yotKA30dwTKNEGomV9ZsI,191.437,0.783,141.882,1,4,0.199,0
Natural,Imagine Dragons ,2FY7b99s15jUprqC0M5NCT,189.467,0.611,100.0,1,4,0.22,2
Body,Megan Thee Stallion ,0A1hoCfMLkiAgvhWkkucJa,171.067,0.732,94.066,0,4,0.469,8
Lose Yourself,Eminem ,5Z01UMMf7V1o0MzF86s6WJ,326.467,0.744,171.374,1,4,0.0612,2
Love Sosa,Chief Keef ,01Lr5YepbgjXAWR9iOEyH1,246.213,0.413,131.965,0,4,0.211,0
Rolex,Ayo & Teo ,0pSBuHjILhNEo55xK1zrRt,238.587,0.886,144.946,1,4,0.789,1
Rubbin Off The Paint,YBN Nahmir ,6V4KHt9xu4TPEnDFoBeacT,159.916,0.751,161.997,1,4,0.56,1
Midnight Rain,Taylor Swift ,3rWDp9tBPQR9z6U5YyRSK4,174.783,0.363,139.865,1,4,0.23,0
First Day Out,Tee Grizzley ,3muBQDekYAg7jm6hDu6R0Z,254.694,0.711,98.008,1,4,0.381,1
Hide Away,Daya ,7fPyCCiXVwbzPQ1MtoUChl,191.368,0.826,94.997,0,4,0.465,11
Neverita,Bad Bunny ,31i56LZnwE6uSu3exoHjtB,173.119,0.498,122.016,1,4,0.428,10
Sum 2 Prove,Lil Baby ,5f4Hy5mw5SRaUgXX9c6P5S,205.76,0.552,124.011,0,4,0.408,4
Hello,Pop Smoke ,2r6OAV3WsYtXuXjvJ1lIDi,190.534,0.647,130.97,0,4,0.367,10
Moves,Big Sean ,0Fv5N0cHBsl4bzCbollCAS,142.907,0.522,75.524,1,4,0.38,2
Dandelions,Ruth B. ,2eAvDnpXP5W0cVtiI0PUxV,233.72,0.692,116.959,1,3,0.454,1
Splashin,Rich The Kid ,3KLo7ByvjCNyBrfz5DZ2mO,177.864,0.382,100.017,1,4,0.379,10
Break My Heart,Dua Lipa ,017PF4Q3l4DBUiWoXk4OWT,221.82,0.729,113.011,0,4,0.467,4
Beer Never Broke My Heart,Luke Combs ,7aEtlGHoiPAfRB084NiDmx,186.733,0.863,77.001,1,4,0.637,1
Surface Pressure,Jessica Darrow ,760jhRscwGbIIe1m1IIQpU,202.227,0.584,180.088,1,4,0.37,2
Arms Around You,XXXTENTACION ,2LskIZrCeLxRvCiGP8gxlh,198.903,0.723,104.969,0,4,0.288,9
Runnin,21 Savage ,5SWnsxjhdcEDc7LJjq9UHk,195.906,0.626,143.01,0,4,0.415,10
Praying,Kesha ,0jdny0dhgjUwoIp5GkqEaA,230.267,0.39,73.415,1,4,0.303,10
Paranoid,Post Malone ,3fpVWegR6YOS1Yk5HSMYIq,221.787,0.536,159.914,1,4,0.253,0
Praise God,Kanye West ,0WSEq9Ko4kFPt8yo3ICd6T,226.653,0.545,118.029,1,4,0.212,1
Neighbors,J. Cole ,0utlOiJy2weVl9WTkcEWHy,216.52,0.283,138.97,0,4,0.469,6
I Hope,Gabby Barrett ,23T0OX7QOiIUFShSzbJ5Uo,210.773,0.536,75.998,1,4,0.377,6
Centuries,Fall Out Boy ,04aAxqtGp5pv12UXAg4pkq,228.36,0.858,176.042,0,4,0.56,4
MAMIII,Becky G ,7FlQk2gJ6TBrHHiidvdR2O,226.093,0.703,94.048,0,4,0.902,4
Stuck with U,Ariana Grande ,4HBZA5flZLE435QTztThqH,228.482,0.45,178.765,1,3,0.537,8
Cheerleader (Felix Jaehn Remix),OMI ,023OVLNzXhX0j7CxswUt6D,180.56,0.68,118.026,1,4,0.594,4
Playinwitme,KYLE ,4F1yvJfQ7gJkrcgFJQDjOr,191.68,0.584,156.572,0,4,0.676,1
All Mine,Kanye West ,3U21A07gAloCc4P7J8rxcn,145.507,0.31,121.927,0,4,0.291,11
Beautiful Mistakes,Maroon 5 ,5zFglKYiknIxks8geR8rcL,227.395,0.676,99.048,1,4,0.721,10
Sauce It Up,Lil Uzi Vert ,1uL78kFWxhz3umTMWJu8n5,207.039,0.528,79.532,0,4,0.131,6
How Far I'll Go,Alessia Cara ,1ehPJRt49h6N0LoryqKZXq,175.507,0.54,180.994,1,4,0.148,9
Still Here,Drake ,433P7tDcIAi6NLnf4Sh6tI,189.853,0.433,133.938,1,3,0.229,0
Thot Shit,Megan Thee Stallion ,5zNW5ARjYhJQJz1AChP33n,184.635,0.693,130.02,1,4,0.891,9
P2,Lil Uzi Vert ,3kW4z2pIj5VY5fLjBrMRL5,234.627,0.72,155.086,0,4,0.49,11
No Type,Rae Sremmurd ,4scpF6J5uMBvoh6sFB7EL1,200.08,0.486,125.01,1,4,0.239,6
Want to Want Me,Jason Derulo ,7oGZAicScQt96OAW4AruYy,207.719,0.68,114.025,0,4,0.656,0
Goosebumps  Remix,Travis Scott ,5uEYRdEIh9Bo4fpjDd4Na9,162.803,0.593,124.917,1,4,0.808,1
I'm Good (Blue),David Guetta ,4uUG5RXrOk84mYEfFvj3cK,175.238,0.965,128.04,0,4,0.304,7
Girls Want Girls,Drake ,37Nqx7iavZpotJSDXZWbJ3,221.98,0.438,86.975,0,4,0.381,7
Swalla,Jason Derulo ,6kex4EBAj0WHXDKZMEJaaF,216.409,0.817,98.064,1,4,0.782,1
Santa Baby,Eartha Kitt ,1vZKP9XURuqMp1SpXGnoyb,206.507,0.103,84.475,0,4,0.468,5
Wild Things,Alessia Cara ,0bmm9xZUJQDR1tBhWtIXVM,188.493,0.626,108.029,0,4,0.706,1
Close,Nick Jonas ,3lSDIJ2abCrOdDJ6pshUap,234.213,0.623,123.996,0,4,0.401,6
