song,artist,track_id,duration_s,energy,tempo,mode,time_signature,valence,key,Energy Levels,Key Signature,Emotional Rating,Position,Artist Name,Song Name,Days,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams
TOES,DaBaby ,2FvD20Z8aoWIePi7PoN8sG,136.366,0.582,160.004,1,4,0.542,8,high-medium energy,G#/Ab,emotionally positive,562.0,DaBaby ,TOES,238.0,1.0,8.0,0,1050000.0,94674586.0
How Do You Sleep?,Sam Smith ,0xPVx0r4d4bFOexP4G7lAW,202.205,0.685,165.944,0,4,0.363,1,high-medium energy,C#/Db,emotionally negative,563.0,Sam Smith ,How Do You Sleep?,181.0,3.0,10.0,0,870242.0,94468000.0
Bad Things  With Camila Cabello,Machine Gun Kelly ,1PSBzsahR2AKwLJgx8ehBj,239.293,0.691,137.853,1,4,0.305,2,high-medium energy,D,emotionally negative,564.0,Machine Gun Kelly ,Bad Things  With Camila Cabello,210.0,36.0,7.0,0,785738.0,94454737.0
PUFFIN ON ZOOTIEZ,Future ,1qMMYpVatbRITKCfq1gasi,172.933,0.657,124.992,1,4,0.284,8,high-medium energy,G#/Ab,emotionally negative,565.0,Future ,PUFFIN ON ZOOTIEZ,225.0,7.0,4.0,0,1417345.0,94325787.0
Fine China,Future ,5274I4mUMnYczyeXkGDWZN,141.587,0.542,166.111,1,4,0.551,7,high-medium energy,G,emotionally positive,566.0,Future ,Fine China,213.0,7.0,2.0,(x1),1715989.0,94225744.0
2 Phones,Kevin Gates ,0wdKiSBUT7aZkXUIdJWcwC,240.0,0.681,121.918,0,4,0.554,7,high-medium energy,G,emotionally positive,567.0,Kevin Gates ,2 Phones,337.0,0.0,15.0,0,598771.0,94221975.0
Chandelier,Sia ,2s1sdSqGcKxpPr5lCl7jAV,216.12,0.787,117.089,1,5,0.572,1,high-energy,C#/Db,emotionally positive,568.0,Sia ,Chandelier,589.0,72.0,4.0,0,358733.0,94195494.0
No Idea,Don Toliver ,7AzlLxHn24DxjgQX73F9fU,154.424,0.631,127.998,0,4,0.35,6,high-medium energy,F#/Gb,emotionally negative,569.0,Don Toliver ,No Idea,246.0,0.0,17.0,0,723629.0,93790452.0
Whats Next,Drake ,3aQem4jVGdhtg116TmJnHz,178.154,0.594,129.895,0,4,0.0628,0,high-medium energy,C,highly emotionally negative,,,,,,,,,
wokeuplikethis*,Playboi Carti ,59J5nzL1KniFHnU120dQzt,235.535,0.62,78.477,1,4,0.478,8,high-medium energy,G#/Ab,emotionally negative,571.0,Playboi Carti ,wokeuplikethis*,325.0,0.0,52.0,0,443339.0,93644916.0
Después de la Playa,Bad Bunny ,1dm6z1fWB0cErMszU25dy2,230.4,0.903,78.293,1,4,0.607,5,high-energy,F,emotionally positive,572.0,Bad Bunny ,Después de la Playa,177.0,8.0,3.0,(x2),2158520.0,93328473.0
What Ifs,Kane Brown ,7zVCrzzEJU7u24sbJPXA5W,188.253,0.799,125.976,1,4,0.687,10,high-energy,A#/Bb,emotionally positive,573.0,Kane Brown ,What Ifs,381.0,0.0,45.0,0,464191.0,93232207.0
Back To You,Selena Gomez ,4hQ6UGyWQIGJmHSo0J88JW,207.905,0.724,102.061,1,4,0.508,6,high-medium energy,F#/Gb,emotionally positive,574.0,Selena Gomez ,Back To You,234.0,0.0,15.0,0,877343.0,93219297.0
The Woo,Pop Smoke ,1H7KnK26kc1YyellpbINEn,201.6,0.618,99.7,1,4,0.286,1,high-medium energy,C#/Db,emotionally negative,575.0,Pop Smoke ,The Woo,215.0,5.0,3.0,(x1),1284269.0,93098286.0
Despacito (Featuring Daddy Yankee),Luis Fonsi ,6habFhsOp2NvshLv26DqMb,229.36,0.797,177.928,1,4,0.839,2,high-energy,D,highly emotionally positive,576.0,Luis Fonsi ,Despacito (Featuring Daddy Yankee),261.0,0.0,13.0,0,786546.0,93020729.0
Don't Stop Believin',Journey ,4bHsxqR3GMrXTxEPLuK5ue,250.987,0.748,118.852,1,4,0.514,4,high-medium energy,E,emotionally positive,577.0,Journey ,Don't Stop Believin',419.0,0.0,82.0,0,315881.0,93020470.0
Energy,Drake ,79XrkTOfV1AqySNjVlygpW,181.933,0.571,172.104,1,4,0.553,11,high-medium energy,B,emotionally positive,578.0,Drake ,Energy,458.0,31.0,1.0,(x1),644639.0,92386459.0
Narcos,Migos ,0wbnC9AUenxp613TYaJsGK,255.379,0.585,124.991,1,4,0.242,0,high-medium energy,C,highly emotionally negative,579.0,Migos ,Narcos,228.0,14.0,2.0,(x2),1634923.0,92278196.0
Paradise,Bazzi ,0Rx0DJI556Ix5gBny6EWmn,169.038,0.644,122.061,0,4,0.591,11,high-medium energy,B,emotionally positive,580.0,Bazzi ,Paradise,251.0,0.0,18.0,0,735900.0,92269595.0
One Thing Right,Marshmello ,4hPpVbbakQNv8YTHYaOJP4,181.824,0.625,88.042,1,4,0.442,4,high-medium energy,E,emotionally negative,581.0,Marshmello ,One Thing Right,238.0,0.0,14.0,0,884052.0,91972872.0
i,Lil Skies ,4ZT9FnbFu1PaBfV3itxiqT,181.891,0.453,99.183,1,4,0.431,6,low-medium energy,F#/Gb,emotionally negative,582.0,Lil Skies ,i,282.0,0.0,13.0,0,860070.0,91934808.0
i love you,Billie Eilish ,6CcJMwBtXByIz4zQLzFkKc,291.796,0.131,137.446,1,4,0.12,0,low energy,C,highly emotionally negative,583.0,Billie Eilish ,i love you,315.0,0.0,14.0,0,1195368.0,91793788.0
Codeine Dreaming,Kodak Black ,4DTpngLjoHj5gFxEZFeD3J,264.532,0.604,155.007,0,4,0.574,1,high-medium energy,C#/Db,emotionally positive,584.0,Kodak Black ,Codeine Dreaming,218.0,2.0,10.0,0,867383.0,91629494.0
pushin P,Gunna ,3XOalgusokruzA5ZBA2Qcb,136.267,0.422,77.502,0,1,0.488,1,low-medium energy,C#/Db,emotionally negative,585.0,Gunna ,pushin P,156.0,70.0,2.0,(x22),1264487.0,91543896.0
Chicago Freestyle,Drake ,4wVOKKEHUJxHCFFNUWDn0B,220.488,0.449,122.947,1,4,0.0397,10,low-medium energy,A#/Bb,highly emotionally negative,586.0,Drake ,Chicago Freestyle,245.0,3.0,4.0,0,1961616.0,91252372.0
NEW MAGIC WAND,"Tyler, The Creator ",0fv2KH6hac06J86hBUTcSf,195.32,0.73,139.566,0,4,0.464,5,high-medium energy,F,emotionally negative,587.0,"Tyler, The Creator ",NEW MAGIC WAND,305.0,1.0,5.0,0,1537094.0,91144161.0
DOLLAZ ON MY HEAD,Gunna ,3nS9a01VvXHQriLqJYwRqG,197.76,0.458,145.115,1,4,0.161,0,low-medium energy,C,highly emotionally negative,588.0,Gunna ,DOLLAZ ON MY HEAD,230.0,1.0,10.0,0,915411.0,91048768.0
