song,artist,track_id,duration_s,energy,tempo,mode,time_signature,valence,key,Energy Levels,Key Signature,Emotional Rating,Position,Artist Name,Song Name,Days,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams
Project Dreams,Marshmello ,6GSkLS2y4ZnnZsuRAj975K,167.898,0.828,160.113,1,4,0.786,8,high-energy,G#/Ab,highly emotionally positive,1338.0,Marshmello ,Project Dreams,128.0,0.0,72.0,0,364099.0,36010708.0
This Girl  Kungs Vs. Cookin' On 3 Burners,Kungs ,1A8j067qyiNwQnZT0bzUpZ,195.547,0.717,121.985,0,4,0.466,0,high-medium energy,C,emotionally negative,1339.0,Kungs ,This Girl  Kungs Vs. Cookin' On 3 Burners,128.0,0.0,28.0,0,506036.0,36008168.0
Blood On My Jeans,Juice WRLD ,0fCwrjKfWxF3xQhZrYUw4T,154.767,0.55,117.943,1,4,0.464,6,high-medium energy,F#/Gb,emotionally negative,1340.0,Juice WRLD ,Blood On My Jeans,78.0,7.0,8.0,0,2622193.0,35979731.0
Glad You Exist,Dan + Shay ,3oV2RVOmwdWdf9BmGS4Oad,144.76,0.499,103.96,1,4,0.692,11,low-medium energy,B,emotionally positive,1341.0,Dan + Shay ,Glad You Exist,148.0,0.0,26.0,0,503958.0,35932635.0
do re mi,blackbear ,6Se3x9ANMLv0dCDsjGmEjh,212.027,0.593,111.001,1,3,0.17,8,high-medium energy,G#/Ab,highly emotionally negative,482.0,blackbear ,do re mi,373.0,0.0,26.0,0,628184.0,108380091.0
do re mi,blackbear ,6Se3x9ANMLv0dCDsjGmEjh,212.027,0.593,111.001,1,3,0.17,8,high-medium energy,G#/Ab,highly emotionally negative,1342.0,blackbear ,do re mi,130.0,0.0,55.0,0,358217.0,35925140.0
Working For It  Bonus Track,ZHU ,2HJQcyUpmUuvzS5vBAICIc,231.813,0.715,99.951,0,4,0.502,5,high-medium energy,F,emotionally positive,1343.0,ZHU ,Working For It  Bonus Track,135.0,0.0,46.0,0,371229.0,35811214.0
Rags2Riches 2,Rod Wave ,40TPiJpvwGIyvPjJMDTKfy,235.988,0.443,118.004,0,4,0.298,5,low-medium energy,F,emotionally negative,1344.0,Rod Wave ,Rags2Riches 2,98.0,0.0,22.0,0,602473.0,35783137.0
Pills & Automobiles,Chris Brown ,2bkyTJ4bAnc8a5ly3dg9DX,268.0,0.604,169.658,1,4,0.168,2,high-medium energy,D,highly emotionally negative,1345.0,Chris Brown ,Pills & Automobiles,149.0,0.0,70.0,0,347566.0,35766738.0
Planez,Jeremih ,08zJpaUQVi9FrKv2e32Bah,240.32,0.556,129.336,1,4,0.416,6,high-medium energy,F#/Gb,emotionally negative,1346.0,Jeremih ,Planez,244.0,0.0,57.0,0,210351.0,35758456.0
Party In The U.S.A.,Miley Cyrus ,5Q0Nhxo0l2bP3pNjpGJwV1,202.067,0.698,96.021,0,4,0.47,10,high-medium energy,A#/Bb,emotionally negative,1347.0,Miley Cyrus ,Party In The U.S.A.,135.0,0.0,15.0,0,852761.0,35748063.0
Costa Rica,Dreamville ,5WnfnSpuNEGXyEt78PBA6d,217.867,0.647,120.749,0,4,0.664,7,high-medium energy,G,emotionally positive,1348.0,Dreamville ,Costa Rica,114.0,0.0,20.0,0,717365.0,35737065.0
Rise,Jonas Blue ,5ZSl6gDoV6bPPxzmLeneV9,194.408,0.785,106.046,1,4,0.655,1,high-energy,C#/Db,emotionally positive,1349.0,Jonas Blue ,Rise,93.0,0.0,29.0,0,596555.0,35668867.0
Problem,Ariana Grande ,7vS3Y0IKjde7Xg85LWIEdP,193.92,0.805,103.008,0,4,0.625,1,high-energy,C#/Db,emotionally positive,1350.0,Ariana Grande ,Problem,277.0,12.0,6.0,0,344965.0,35661474.0
RITMO (Bad Boys For Life),Black Eyed Peas ,6cy3ki60hLwimwIje7tALf,221.714,0.716,104.994,0,4,0.667,10,high-medium energy,A#/Bb,emotionally positive,1351.0,Black Eyed Peas ,RITMO (Bad Boys For Life),120.0,0.0,76.0,0,362597.0,35566452.0
Green Light,Lorde ,6ie2Bw3xLj2JcGowOlcMhb,234.653,0.721,128.942,1,4,0.253,2,high-medium energy,D,emotionally negative,1352.0,Lorde ,Green Light,92.0,0.0,11.0,0,966789.0,35545428.0
Tap In,Saweetie ,4Hpib09wXgD84w4uwTPnYD,139.413,0.696,100.036,0,4,0.432,10,high-medium energy,A#/Bb,emotionally negative,1353.0,Saweetie ,Tap In,110.0,0.0,25.0,0,537217.0,35519560.0
Tap In,Saweetie ,4Hpib09wXgD84w4uwTPnYD,139.413,0.696,100.036,0,4,0.432,10,high-medium energy,A#/Bb,emotionally negative,3488.0,Saweetie ,Tap In,22.0,0.0,25.0,0,627270.0,6386527.0
Masterpiece,DaBaby ,26UxwWl9xCb83OynXELJcL,181.714,0.726,139.988,1,4,0.436,0,high-medium energy,C,emotionally negative,1354.0,DaBaby ,Masterpiece,146.0,0.0,55.0,0,410504.0,35472828.0
World's Smallest Violin,AJR ,2GujK1FWxxOZ118PaWNgbZ,180.743,0.696,115.962,1,4,0.684,5,high-medium energy,F,emotionally positive,1355.0,AJR ,World's Smallest Violin,129.0,0.0,75.0,0,316903.0,35413229.0
God's Country,Blake Shelton ,4TCeFZNjGNQIpCuZmJkkE2,204.8,0.754,139.988,1,4,0.212,10,high-energy,A#/Bb,highly emotionally negative,1356.0,Blake Shelton ,God's Country,124.0,0.0,59.0,0,388109.0,35394209.0
Hot N*gga,Bobby Shmurda ,19gEmPjfqSZT0ulDRfjl0m,194.561,0.51,167.879,1,4,0.18,9,high-medium energy,A,highly emotionally negative,1357.0,Bobby Shmurda ,Hot N*gga,228.0,3.0,9.0,0,382109.0,35391630.0
Jingle Bells  Remastered 1999,Frank Sinatra ,4HEOgBHRCExyYVeTyrXsnL,120.693,0.339,174.609,1,4,0.951,8,low-medium energy,G#/Ab,highly emotionally positive,1358.0,Frank Sinatra ,Jingle Bells  Remastered 1999,63.0,0.0,19.0,0,2029316.0,35381102.0
Solo Dance,Martin Jensen ,3R6dPfF2yBO8mHySW1XDAa,174.933,0.846,114.955,1,4,0.403,9,high-energy,A,emotionally negative,1359.0,Martin Jensen ,Solo Dance,140.0,0.0,68.0,0,319578.0,35182986.0
Running Out,Matoma ,2H8LPaY3NSjmOFMH2Rygnz,211.2,0.682,94.999,1,4,0.17,10,high-medium energy,A#/Bb,highly emotionally negative,1360.0,Matoma ,Running Out,194.0,0.0,52.0,0,242209.0,35179841.0
Mama,Jonas Blue ,7jEyX4bqaCSdMN4D4JNnVj,184.134,0.794,104.014,0,4,0.566,11,high-energy,B,emotionally positive,1361.0,Jonas Blue ,Mama,126.0,0.0,54.0,0,358747.0,35176363.0
ATM,J. Cole ,2UciqgwVDwro0fev3MFbxJ,216.727,0.498,81.817,1,4,0.351,8,low-medium energy,G#/Ab,emotionally negative,1362.0,J. Cole ,ATM,56.0,7.0,3.0,(x5),3408026.0,35156454.0
Kacey Talk,YoungBoy Never Broke Again ,1SF8piqsZWn86DajVKih8F,151.249,0.607,127.055,0,4,0.773,10,high-medium energy,A#/Bb,highly emotionally positive,1363.0,YoungBoy Never Broke Again ,Kacey Talk,145.0,0.0,30.0,0,487976.0,35145047.0
Your Power,Billie Eilish ,042Sl6Mn83JHyLEqdK7uI0,245.897,0.284,129.642,0,4,0.208,9,low-medium energy,A,highly emotionally negative,1364.0,Billie Eilish ,Your Power,71.0,9.0,1.0,(x1),2088133.0,35111253.0
Good Drank,2 Chainz ,39pS70eeDvyCAF3t8NAlVV,222.707,0.776,130.033,0,4,0.37,4,high-energy,E,emotionally negative,1365.0,2 Chainz ,Good Drank,190.0,0.0,55.0,0,374269.0,35102155.0
"Sex, Drugs, Etc.",Beach Weather ,7MlDNspYwfqnHxORufupwq,196.784,0.842,143.975,0,4,0.47,4,high-energy,E,emotionally negative,1366.0,Beach Weather ,"Sex, Drugs, Etc.",112.0,0.0,51.0,0,377646.0,35092006.0
Andrea,Bad Bunny ,44XjoNvtwevktFKjvVe1vH,339.612,0.616,103.071,0,4,0.451,1,high-medium energy,C#/Db,emotionally negative,1367.0,Bad Bunny ,Andrea,112.0,0.0,25.0,0,999201.0,35085957.0
Little Freak,Harry Styles ,3i058E8uxTsYqJ5NWZzqSj,202.183,0.535,141.96,1,4,0.402,3,high-medium energy,D#/Eb,emotionally negative,1368.0,Harry Styles ,Little Freak,67.0,8.0,5.0,0,2785290.0,35042124.0
Latch,Disclosure ,1DunhgeZSEgWiIYbHqXl0c,255.867,0.735,121.986,1,4,0.544,1,high-medium energy,C#/Db,emotionally positive,1369.0,Disclosure ,Latch,274.0,0.0,12.0,0,240855.0,35040300.0
Infinity,Jaymes Young ,1SOClUWhOi8vHZYMz3GluK,237.72,0.673,121.963,0,4,0.494,11,high-medium energy,B,emotionally negative,1370.0,Jaymes Young ,Infinity,116.0,0.0,55.0,0,401330.0,35009706.0
Spin Bout U,Drake ,2ZL7WZcjuYKi1KUDtp4kCC,214.589,0.701,129.963,1,4,0.203,7,high-medium energy,G,highly emotionally negative,1371.0,Drake ,Spin Bout U,53.0,7.0,5.0,0,3619172.0,34999036.0
Summer,Calvin Harris ,6YUTL4dYpB9xZO5qExPf05,222.533,0.856,127.949,0,4,0.743,4,high-energy,E,emotionally positive,1372.0,Calvin Harris ,Summer,320.0,0.0,13.0,0,214644.0,34971061.0
End Game,Taylor Swift ,2x0WlnmfG39ZuDmstl9xfX,244.827,0.589,159.073,1,4,0.151,2,high-medium energy,D,highly emotionally negative,1373.0,Taylor Swift ,End Game,92.0,0.0,21.0,0,601411.0,34834044.0
Just Hold On,Steve Aoki ,3EmmCZoqpWOTY1g2GBwJoR,198.774,0.932,114.991,1,4,0.374,11,high-energy,B,emotionally negative,1374.0,Steve Aoki ,Just Hold On,100.0,0.0,25.0,0,503133.0,34773564.0
No Friends In The Industry,Drake ,2tUL6dZf1mywCj5WvCPZw6,204.347,0.744,83.737,1,4,0.171,1,high-medium energy,C#/Db,highly emotionally negative,1375.0,Drake ,No Friends In The Industry,65.0,5.0,8.0,0,3694638.0,34759904.0
Do You Hear What I Hear?,Bing Crosby ,5aDoUmxBsbdpS16alksb5Z,165.667,0.246,101.529,1,4,0.412,10,low energy,A#/Bb,emotionally negative,1376.0,Bing Crosby ,Do You Hear What I Hear?,101.0,0.0,29.0,0,1305116.0,34741723.0
Physical,Dua Lipa ,3AzjcOeAmA57TIOr9zF1ZW,193.829,0.844,146.967,1,4,0.746,0,high-energy,C,emotionally positive,1377.0,Dua Lipa ,Physical,108.0,0.0,27.0,0,706726.0,34730152.0
Physical,Dua Lipa ,3AzjcOeAmA57TIOr9zF1ZW,193.829,0.844,146.967,1,4,0.746,0,high-energy,C,emotionally positive,9456.0,Dua Lipa ,Physical,1.0,0.0,141.0,0,263466.0,263466.0
Physical,Dua Lipa ,3AzjcOeAmA57TIOr9zF1ZW,193.829,0.844,146.967,1,4,0.746,0,high-energy,C,emotionally positive,10023.0,Dua Lipa ,Physical,1.0,0.0,184.0,0,233017.0,233017.0
Leave The Night On,Sam Hunt ,3wx2kQWPn9p5UppQbNhPAk,192.16,0.951,171.96,1,4,0.838,9,high-energy,A,highly emotionally positive,1378.0,Sam Hunt ,Leave The Night On,308.0,0.0,22.0,0,187534.0,34721582.0
Heatin Up,Lil Baby ,7KSSdFCBHCfq4KPzz78ghk,177.314,0.436,129.847,1,4,0.341,1,low-medium energy,C#/Db,emotionally negative,1379.0,Lil Baby ,Heatin Up,99.0,1.0,3.0,(x1),1383309.0,34712534.0
bloodline,Ariana Grande ,2hloaUoRonYssMuqLCBLTX,216.893,0.665,151.976,0,4,0.643,2,high-medium energy,D,emotionally positive,1380.0,Ariana Grande ,bloodline,56.0,6.0,5.0,0,2657076.0,34711489.0
SWISH,Tyga ,55GiOwtxNajXVbpjjIzMnD,194.936,0.541,105.009,1,4,0.274,11,high-medium energy,B,emotionally negative,1381.0,Tyga ,SWISH,98.0,0.0,23.0,0,697263.0,34570097.0
This Town,Niall Horan ,0qvzXomUDJVaUboy2wMfiS,232.852,0.401,111.825,1,4,0.195,9,low-medium energy,A,highly emotionally negative,1382.0,Niall Horan ,This Town,156.0,0.0,12.0,0,716734.0,34544191.0
Bigger Than You,2 Chainz ,5S1IUPueD0xE0vj4zU3nSf,225.893,0.515,141.009,1,4,0.264,1,high-medium energy,C#/Db,emotionally negative,1383.0,2 Chainz ,Bigger Than You,107.0,0.0,14.0,0,875127.0,34467944.0
The Fix,Nelly ,33QRsLBBdWDYgCZfWEZqR6,173.045,0.479,95.505,1,4,0.0873,8,low-medium energy,G#/Ab,highly emotionally negative,1384.0,Nelly ,The Fix,184.0,0.0,42.0,0,294561.0,34379158.0
Emotionless,Drake ,5Psnhdkyanjpgc2P8A5TSM,302.173,0.677,172.521,1,4,0.0853,1,high-medium energy,C#/Db,highly emotionally negative,1385.0,Drake ,Emotionless,42.0,7.0,2.0,(x1),4842941.0,34344959.0
Made You Look,Meghan Trainor ,0QHEIqNKsMoOY5urbzN48u,134.256,0.525,144.981,1,4,0.884,10,high-medium energy,A#/Bb,highly emotionally positive,1386.0,Meghan Trainor ,Made You Look,66.0,0.0,24.0,0,759300.0,34342321.0
Unsteady,X Ambassadors ,7lGKEWMXVWWTt3X71Bv44I,193.547,0.665,117.055,1,4,0.199,0,high-medium energy,C,highly emotionally negative,1387.0,X Ambassadors ,Unsteady,219.0,0.0,93.0,0,211226.0,34331656.0
FIND MY WAY,DaBaby ,1gVCEnryJhkdQcuC0Kbvor,139.89,0.624,103.0,0,4,0.7,4,high-medium energy,E,emotionally positive,1388.0,DaBaby ,FIND MY WAY,79.0,8.0,4.0,0,1324318.0,34319287.0
Body Say,Demi Lovato ,7xrA11O07xo57Bbg6p4hck,193.893,0.74,86.983,0,4,0.257,5,high-medium energy,F,emotionally negative,1389.0,Demi Lovato ,Body Say,129.0,0.0,45.0,0,377953.0,34246166.0
Counting Stars,OneRepublic ,2tpWsVSb9UEmDRxAl1zhX1,257.267,0.705,122.016,0,4,0.477,1,high-medium energy,C#/Db,emotionally negative,1390.0,OneRepublic ,Counting Stars,337.0,0.0,36.0,0,140997.0,34229004.0
King Kunta,Kendrick Lamar ,0N3W5peJUQtI4eyR6GJT5O,234.693,0.657,107.059,0,4,0.489,6,high-medium energy,F#/Gb,emotionally negative,1391.0,Kendrick Lamar ,King Kunta,261.0,7.0,1.0,(x3),703039.0,34225970.0
Paramedic!,SOB X RBE ,2tPcTFiQF9MbVUyjZ3zDhA,219.307,0.652,97.017,1,4,0.471,1,high-medium energy,C#/Db,emotionally negative,1392.0,SOB X RBE ,Paramedic!,91.0,0.0,16.0,0,829908.0,34212750.0
Why You Always Hatin?,YG ,4ezAjoV01phDz1SqO6SzEU,196.587,0.355,92.988,0,4,0.383,0,low-medium energy,C,emotionally negative,1393.0,YG ,Why You Always Hatin?,185.0,0.0,86.0,0,233346.0,34210856.0
If It Ain't Love,Jason Derulo ,5YHR8wBR5jXfGtP766NiAT,203.105,0.843,128.63,0,4,0.778,10,high-energy,A#/Bb,highly emotionally positive,1394.0,Jason Derulo ,If It Ain't Love,114.0,0.0,40.0,0,407602.0,34209480.0
Play Date,Melanie Martinez ,4DpNNXFMMxQEKl7r0ykkWA,179.867,0.729,123.97,1,4,0.446,5,high-medium energy,F,emotionally negative,1395.0,Melanie Martinez ,Play Date,91.0,0.0,35.0,0,500721.0,34165887.0
Patty Cake,Kodak Black ,0bXFIF7iL17TYLyx8JHziM,198.11,0.77,152.094,0,4,0.406,1,high-energy,C#/Db,emotionally negative,1396.0,Kodak Black ,Patty Cake,181.0,0.0,127.0,0,222083.0,34158324.0
Tuesday,ILOVEMAKONNEN ,35rSpXB5bk9ega9jsjcRts,321.987,0.664,140.161,1,4,0.472,0,high-medium energy,C,emotionally negative,1397.0,ILOVEMAKONNEN ,Tuesday,209.0,14.0,8.0,0,310329.0,34009596.0
Tuesday,ILOVEMAKONNEN ,35rSpXB5bk9ega9jsjcRts,321.987,0.664,140.161,1,4,0.472,0,high-medium energy,C,emotionally negative,6507.0,ILOVEMAKONNEN ,Tuesday,19.0,0.0,123.0,0,60237.0,1037302.0
Eazy  Calm Down,G,7xq3uN2toVZ8IbNzfTucyJ,127.427,0.624,102.346,1,4,0.409,11,high-medium energy,B,emotionally negative,1398.0,G,Eazy  Calm Down,252.0,0.0,52.0,0,230359.0,33995673.0
Hollow,Tori Kelly ,160hN2OsDXnmgExwtG7cvD,210.606,0.656,126.044,0,4,0.454,2,high-medium energy,D,emotionally negative,1399.0,Tori Kelly ,Hollow,187.0,0.0,50.0,0,257602.0,33923685.0
Hollow,Tori Kelly ,160hN2OsDXnmgExwtG7cvD,210.606,0.656,126.044,0,4,0.454,2,high-medium energy,D,emotionally negative,10812.0,Tori Kelly ,Hollow,1.0,0.0,144.0,0,110952.0,110952.0
The Cure,Lady Gaga ,34oB5r0lcN3fYWCs2uA1k5,211.364,0.506,100.002,1,4,0.516,8,high-medium energy,G#/Ab,emotionally positive,1400.0,Lady Gaga ,The Cure,96.0,0.0,36.0,0,609233.0,33917544.0
Fresh Eyes,Andy Grammer ,7gm2omqXDTaT4sS17hSu8T,198.001,0.56,122.056,1,4,0.873,0,high-medium energy,C,highly emotionally positive,1401.0,Andy Grammer ,Fresh Eyes,113.0,0.0,38.0,0,406495.0,33892531.0
Yikes,Kanye West ,1qsHYUd2c1wFGcn7e63QmG,188.773,0.776,173.996,0,4,0.223,1,high-energy,C#/Db,highly emotionally negative,1402.0,Kanye West ,Yikes,62.0,7.0,3.0,(x3),2386030.0,33877095.0
Mary On A Cross,Ghost ,2HZLXBOnaSRhXStMLrq9fD,244.804,0.9,130.02,1,4,0.561,11,high-energy,B,emotionally positive,1403.0,Ghost ,Mary On A Cross,86.0,0.0,27.0,0,564774.0,33860020.0
Dua Lipa,Jack Harlow ,0LnS7aOdOdI1dNKZqdOLz4,135.053,0.652,158.022,1,4,0.405,11,high-medium energy,B,emotionally negative,1404.0,Jack Harlow ,Dua Lipa,74.0,3.0,7.0,0,1762710.0,33818973.0
3 Nights,Dominic Fike ,0uI7yAKUf52Cn7y3sYyjiX,177.667,0.518,151.891,0,4,0.877,7,high-medium energy,G,highly emotionally positive,1405.0,Dominic Fike ,3 Nights,117.0,0.0,40.0,0,477809.0,33818461.0
Head & Heart,Joel Corry ,748yv6bb3l3CcKS45a6SZ8,256.147,0.839,95.159,0,4,0.653,4,high-energy,E,emotionally positive,1406.0,Joel Corry ,Head & Heart,116.0,0.0,51.0,0,394531.0,33780521.0
Tip Toe,Roddy Ricch ,6ztvsy3C6hPjVg9j4x1XKJ,185.806,0.673,92.958,1,3,0.574,1,high-medium energy,C#/Db,emotionally positive,1407.0,Roddy Ricch ,Tip Toe,97.0,0.0,38.0,0,585348.0,33753889.0
Lost in the Fire,Gesaffelstein ,2vXKRlJBXyOcvZYTdNeckS,202.093,0.671,100.966,1,4,0.166,2,high-medium energy,D,highly emotionally negative,1408.0,Gesaffelstein ,Lost in the Fire,86.0,5.0,7.0,0,1238188.0,33729127.0
YAH.,Kendrick Lamar ,4BHSjbYylfOH5WAGusDyni,160.293,0.7,69.986,1,4,0.648,1,high-medium energy,C#/Db,emotionally positive,1409.0,Kendrick Lamar ,YAH.,67.0,7.0,5.0,0,2572839.0,33680519.0
Feeling Myself,Nicki Minaj ,5fyIGoaaKelzdyW8ELhYJZ,237.84,0.703,139.045,1,4,0.477,2,high-medium energy,D,emotionally negative,1410.0,Nicki Minaj ,Feeling Myself,286.0,0.0,33.0,0,201134.0,33670845.0
Winter Wonderland,Bing Crosby ,2IuUMx3uxxJAHcH41aYtn0,144.253,0.23,126.655,1,4,0.537,10,low energy,A#/Bb,emotionally positive,1411.0,Bing Crosby ,Winter Wonderland,102.0,0.0,13.0,0,1048504.0,33586557.0
Turks,NAV ,7IMwEtpAiJanqF6vQteZN2,161.32,0.618,119.1,0,4,0.379,7,high-medium energy,G,emotionally negative,1412.0,NAV ,Turks,99.0,0.0,14.0,0,772950.0,33555764.0
Turks,NAV ,7IMwEtpAiJanqF6vQteZN2,161.32,0.618,119.1,0,4,0.379,7,high-medium energy,G,emotionally negative,1582.0,NAV ,Turks,42.0,9.0,1.0,(x1),1751176.0,28957255.0
"Baby, It's Cold Outside",Brett Eldredge ,5Q2P43CJra0uRAogjHyJDK,173.56,0.572,113.998,1,4,0.684,1,high-medium energy,C#/Db,emotionally positive,1413.0,Brett Eldredge ,"Baby, It's Cold Outside",92.0,0.0,22.0,0,1096766.0,33555350.0
"Would've, Could've, Should've",Taylor Swift ,0aV5uARAknQgYhBaK944FP,260.362,0.84,157.979,1,4,0.55,7,high-energy,G,emotionally positive,1414.0,Taylor Swift ,"Would've, Could've, Should've",48.0,0.0,14.0,0,1819160.0,33543719.0
6 Kiss,Trippie Redd ,0Y3OJ2TBul2Xn1w8o2WXAy,199.437,0.444,142.063,1,4,0.222,2,low-medium energy,D,highly emotionally negative,1415.0,Trippie Redd ,6 Kiss,91.0,2.0,7.0,0,1090325.0,33472853.0
Bad Man (Smooth Criminal),Polo G ,62l3NSQPUxvcwwzKUmysrE,106.0,0.662,120.034,1,4,0.57,0,high-medium energy,C,emotionally positive,1416.0,Polo G ,Bad Man (Smooth Criminal),91.0,0.0,20.0,0,1001151.0,33440572.0
Big Gangsta,Kevin Gates ,03ERnTvSV5fy8WAyvA4uNP,243.463,0.574,144.911,0,4,0.346,10,high-medium energy,A#/Bb,emotionally negative,1417.0,Kevin Gates ,Big Gangsta,108.0,0.0,38.0,0,413539.0,33419132.0
TV,Billie Eilish ,3GYlZ7tbxLOxe6ewMNVTkw,281.381,0.236,140.214,0,4,0.119,4,low energy,E,highly emotionally negative,1418.0,Billie Eilish ,TV,103.0,1.0,8.0,0,869763.0,33410882.0
Some Way,NAV ,7zxRMhXxJMQCeDDg0rKAVo,179.773,0.715,154.962,1,4,0.34,0,high-medium energy,C,emotionally negative,1419.0,NAV ,Some Way,179.0,0.0,61.0,0,383088.0,33388503.0
BILLIE EILISH.,Armani White ,27ZZdyTSQWI7Cug2d2PkqV,99.283,0.509,100.007,1,4,0.765,1,high-medium energy,C#/Db,highly emotionally positive,1420.0,Armani White ,BILLIE EILISH.,101.0,0.0,42.0,0,443870.0,33370246.0
No Option,Post Malone ,6M0IsaUX4GNyto4niSegfI,179.827,0.734,83.986,1,4,0.494,2,high-medium energy,D,emotionally negative,1421.0,Post Malone ,No Option,158.0,0.0,104.0,0,268030.0,33368501.0
Slime Belief,YoungBoy Never Broke Again ,2qGfZAgDe1pV2y5xJAhi6R,192.606,0.578,140.016,1,4,0.166,9,high-medium energy,A,highly emotionally negative,1422.0,YoungBoy Never Broke Again ,Slime Belief,141.0,0.0,138.0,0,275137.0,33352084.0
Numb,Marshmello ,10xV5l9nhLvFpR8mqzs0bL,155.589,0.774,119.966,0,4,0.632,0,high-energy,C,emotionally positive,1423.0,Marshmello ,Numb,126.0,0.0,57.0,0,458944.0,33325524.0
GANG GANG,Polo G ,0ezwvY7TkCwDEkKR49084k,178.776,0.563,145.05,0,4,0.551,3,high-medium energy,D#/Eb,emotionally positive,1424.0,Polo G ,GANG GANG,90.0,0.0,20.0,0,927521.0,33276808.0
Shake It Up,Trippie Redd ,2bTRpIxPniQmrSgwmtF1b2,116.681,0.6,156.073,0,4,0.389,10,high-medium energy,A#/Bb,emotionally negative,1425.0,Trippie Redd ,Shake It Up,121.0,0.0,42.0,0,598810.0,33147889.0
His & Hers,Internet Money ,7heT8oGUnfvpRaXUFwHvCF,279.867,0.978,178.073,1,4,0.555,6,high-energy,F#/Gb,emotionally positive,1426.0,Internet Money ,His & Hers,113.0,0.0,33.0,0,660095.0,33133955.0
Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin ,0vjeOZ3Ft5jvAi9SBFJm1j,182.667,0.606,116.622,0,4,0.492,5,high-medium energy,F,emotionally negative,1427.0,Metro Boomin ,Superhero (Heroes & Villains) [with Future & Chris Brown],27.0,11.0,1.0,(x1),1773679.0,33127276.0
Hawái,Maluma ,1yoMvmasuxZfqHEipJhRbp,199.112,0.727,180.067,0,4,0.558,6,high-medium energy,F#/Gb,emotionally positive,1428.0,Maluma ,Hawái,93.0,0.0,27.0,0,530403.0,33107405.0
A Sky Full of Stars,Coldplay ,0FDzzruyVECATHXKHFs9eJ,267.867,0.675,124.97,1,4,0.162,6,high-medium energy,F#/Gb,highly emotionally negative,1429.0,Coldplay ,A Sky Full of Stars,267.0,0.0,18.0,0,214878.0,33101321.0
Anaconda,Nicki Minaj ,794F99D5BQHS5ZGRXAs7I5,260.24,0.605,129.994,1,4,0.646,9,high-medium energy,A,emotionally positive,1430.0,Nicki Minaj ,Anaconda,220.0,22.0,6.0,0,323822.0,33077731.0
Oprahs Bank Account (Lil Yachty & DaBaby feat. Drake),Lil Yachty ,7wsmIIm0xWmtP7TmACXkJn,206.702,0.617,138.066,1,4,0.866,0,high-medium energy,C,highly emotionally positive,,,,,,,,,
Beautiful,Bazzi ,4VUwkH455At9kENOfzTqmF,180.0,0.717,100.027,1,4,0.249,2,high-medium energy,D,highly emotionally negative,497.0,Bazzi ,Beautiful,290.0,0.0,28.0,0,586218.0,105769712.0
Beautiful,Bazzi ,4VUwkH455At9kENOfzTqmF,180.0,0.717,100.027,1,4,0.249,2,high-medium energy,D,highly emotionally negative,1432.0,Bazzi ,Beautiful,102.0,0.0,52.0,0,459132.0,33048178.0
What A Man Gotta Do,Jonas Brothers ,4wNIkl5XGiAACjFBlDWuSd,180.645,0.698,113.039,1,4,0.324,9,high-medium energy,A,emotionally negative,1433.0,Jonas Brothers ,What A Man Gotta Do,78.0,0.0,22.0,0,1009325.0,33009718.0
I Wanna Be Yours,Arctic Monkeys ,5XeFesFbtLpXzIVDNQP22n,183.956,0.417,67.528,0,4,0.479,0,low-medium energy,C,emotionally negative,1434.0,Arctic Monkeys ,I Wanna Be Yours,105.0,0.0,67.0,0,375665.0,32996699.0
Somebody,Internet Money ,44b5itlYXwofZZoPFsNzcT,174.333,0.673,89.878,0,4,0.315,6,high-medium energy,F#/Gb,emotionally negative,1435.0,Internet Money ,Somebody,103.0,0.0,48.0,0,427241.0,32988734.0
Promise,Kid Ink ,5IZc3KIVFhjzJ0L2kiXzUl,224.24,0.469,103.057,1,4,0.481,8,low-medium energy,G#/Ab,emotionally negative,1436.0,Kid Ink ,Promise,189.0,0.0,61.0,0,255485.0,32970385.0
One Of Them Girls,Lee Brice ,6uyiyatWPCqC59Mm4rO8xL,188.893,0.79,95.981,1,4,0.808,4,high-energy,E,highly emotionally positive,1437.0,Lee Brice ,One Of Them Girls,131.0,0.0,53.0,0,332798.0,32969825.0
Immortal,21 Savage ,4IO8X9W69dIQe0EC5ALXhq,254.723,0.87,184.194,0,4,0.663,6,high-energy,F#/Gb,emotionally positive,1438.0,21 Savage ,Immortal,90.0,1.0,7.0,0,915688.0,32944588.0
Thousand Miles,The Kid LAROI ,1r8ZCjfrQxoy2wVaBUbpwg,164.782,0.657,80.565,1,4,0.203,7,high-medium energy,G,highly emotionally negative,1439.0,The Kid LAROI ,Thousand Miles,96.0,7.0,3.0,(x1),950356.0,32849517.0
Beat Box 3,SpotemGottem ,6toQdWWc4noiOk3Eo5mVDS,200.424,0.426,160.051,1,4,0.201,1,low-medium energy,C#/Db,highly emotionally negative,1440.0,SpotemGottem ,Beat Box 3,92.0,0.0,30.0,0,499363.0,32841611.0
Grapejuice,Harry Styles ,4j6kId9QIqhoXvqHKgSKa0,191.959,0.721,182.928,1,4,0.88,5,high-medium energy,F,highly emotionally positive,1441.0,Harry Styles ,Grapejuice,56.0,8.0,4.0,0,3003406.0,32762005.0
